control_id,initiative_id,control_name,required,status,evidence_date
AI-001-C1,AI-001,Use-case inventory,Yes,Pass,2025-01-05
AI-001-C2,AI-001,Data lineage review,Yes,Gap,2025-02-05
AI-001-C3,AI-001,Privacy assessment,Yes,Pass,2025-03-08
AI-001-C4,AI-001,Security review,Yes,Pass,2025-04-08
AI-001-C5,AI-001,Human oversight,Yes,Gap,2025-05-09
AI-001-C6,AI-001,Model monitoring,Yes,Pass,2025-06-09
AI-002-C1,AI-002,Use-case inventory,Yes,Pass,2025-01-09
AI-002-C2,AI-002,Data lineage review,Yes,Pass,2025-02-09
AI-002-C3,AI-002,Privacy assessment,Yes,Pass,2025-03-12
AI-002-C4,AI-002,Security review,Yes,Pass,2025-04-12
AI-002-C5,AI-002,Human oversight,Yes,Pass,2025-05-13
AI-002-C6,AI-002,Model monitoring,Yes,Gap,2025-06-13
AI-003-C1,AI-003,Use-case inventory,Yes,Pass,2025-01-13
AI-003-C2,AI-003,Data lineage review,Yes,Pass,2025-02-13
AI-003-C3,AI-003,Privacy assessment,Yes,Pass,2025-03-16
AI-003-C4,AI-003,Security review,Yes,Pass,2025-04-16
AI-003-C5,AI-003,Human oversight,Yes,Pass,2025-05-17
AI-003-C6,AI-003,Model monitoring,Yes,Pass,2025-06-17
AI-004-C1,AI-004,Use-case inventory,Yes,Pass,2025-01-17
AI-004-C2,AI-004,Data lineage review,Yes,Pass,2025-02-17
AI-004-C3,AI-004,Privacy assessment,Yes,Pass,2025-03-20
AI-004-C4,AI-004,Security review,Yes,Pass,2025-04-20
AI-004-C5,AI-004,Human oversight,Yes,Pass,2025-05-21
AI-004-C6,AI-004,Model monitoring,Yes,Pass,2025-06-21
AI-005-C1,AI-005,Use-case inventory,Yes,Gap,2025-01-21
AI-005-C2,AI-005,Data lineage review,Yes,Pass,2025-02-21
AI-005-C3,AI-005,Privacy assessment,Yes,Pass,2025-03-24
AI-005-C4,AI-005,Security review,Yes,Gap,2025-04-24
AI-005-C5,AI-005,Human oversight,Yes,Pass,2025-05-25
AI-005-C6,AI-005,Model monitoring,Yes,Pass,2025-06-25
AI-006-C1,AI-006,Use-case inventory,Yes,Pass,2025-01-25
AI-006-C2,AI-006,Data lineage review,Yes,Pass,2025-02-25
AI-006-C3,AI-006,Privacy assessment,Yes,Pass,2025-03-28
AI-006-C4,AI-006,Security review,Yes,Pass,2025-04-28
AI-006-C5,AI-006,Human oversight,Yes,Gap,2025-05-29
AI-006-C6,AI-006,Model monitoring,Yes,Pass,2025-06-29
AI-007-C1,AI-007,Use-case inventory,Yes,Pass,2025-01-29
AI-007-C2,AI-007,Data lineage review,Yes,Pass,2025-03-01
AI-007-C3,AI-007,Privacy assessment,Yes,Pass,2025-04-01
AI-007-C4,AI-007,Security review,Yes,Pass,2025-05-02
