initiative_id,business_unit,use_case,lifecycle,owner,launch_date,estimated_annual_value,regulated_data
AI-001,Collaboration,Support copilot,Scaled,Risk,2025-01-12,82391,No
AI-002,Security,Forecasting,Pilot,Security,2025-01-23,99782,No
AI-003,Networking,Document intelligence,Pilot,Business Operations,2025-02-03,117173,No
AI-004,Customer Experience,Workflow automation,Pilot,Product,2025-02-14,134564,Yes
AI-005,Finance,Knowledge assistant,Discovery,Data & AI,2025-02-25,151955,No
AI-006,Operations,Support copilot,Discovery,Risk,2025-03-08,169346,No
AI-007,Collaboration,Forecasting,Scaled,Security,2025-03-19,186737,No
AI-008,Security,Document intelligence,Scaled,Business Operations,2025-03-30,204128,Yes
AI-009,Networking,Workflow automation,Pilot,Product,2025-04-10,221519,No
AI-010,Customer Experience,Knowledge assistant,Pilot,Data & AI,2025-04-21,238910,No
AI-011,Finance,Support copilot,Pilot,Risk,2025-05-02,256301,No
AI-012,Operations,Forecasting,Discovery,Security,2025-05-13,273692,Yes
AI-013,Collaboration,Document intelligence,Discovery,Business Operations,2025-05-24,291083,No
AI-014,Security,Workflow automation,Scaled,Product,2025-06-04,308474,No
AI-015,Networking,Knowledge assistant,Scaled,Data & AI,2025-06-15,325865,No
AI-016,Customer Experience,Support copilot,Pilot,Risk,2025-06-26,343256,Yes
AI-017,Finance,Forecasting,Pilot,Security,2025-07-07,360647,No
AI-018,Operations,Document intelligence,Pilot,Business Operations,2025-07-18,378038,No
AI-019,Collaboration,Workflow automation,Discovery,Product,2025-07-29,395429,No
AI-020,Security,Knowledge assistant,Discovery,Data & AI,2025-08-09,412820,Yes
AI-021,Networking,Support copilot,Scaled,Risk,2025-08-20,430211,No
AI-022,Customer Experience,Forecasting,Scaled,Security,2025-08-31,447602,No
AI-023,Finance,Document intelligence,Pilot,Business Operations,2025-09-11,464993,No
AI-024,Operations,Workflow automation,Pilot,Product,2025-09-22,482384,Yes
AI-025,Collaboration,Knowledge assistant,Pilot,Data & AI,2025-10-03,499775,No
AI-026,Security,Support copilot,Discovery,Risk,2025-10-14,517166,No
AI-027,Networking,Forecasting,Discovery,Security,2025-10-25,534557,No
AI-028,Customer Experience,Document intelligence,Scaled,Business Operations,2025-11-05,551948,Yes
AI-029,Finance,Workflow automation,Scaled,Product,2025-11-16,569339,No
AI-030,Operations,Knowledge assistant,Pilot,Data & AI,2025-11-27,586730,No
AI-031,Collaboration,Support copilot,Pilot,Risk,2025-12-08,604121,No
AI-032,Security,Forecasting,Pilot,Security,2025-12-19,621512,Yes
AI-033,Networking,Document intelligence,Discovery,Business Operations,2025-12-30,638903,No
AI-034,Customer Experience,Workflow automation,Discovery,Product,2026-01-10,656294,No
AI-035,Finance,Knowledge assistant,Scaled,Data & AI,2026-01-21,673685,No
