record_id,initiative_id,week_start,eligible_users,active_users,workflow_runs,business_unit
AD-0001,AI-008,2025-01-08,119,94,251,Security
AD-0002,AI-015,2025-01-15,138,123,292,Networking
AD-0003,AI-022,2025-01-22,157,152,333,Customer Experience
AD-0004,AI-029,2025-01-29,176,181,374,Finance
AD-0005,AI-036,2025-02-05,195,210,415,Operations
AD-0006,AI-043,2025-02-12,214,239,456,Collaboration
AD-0007,AI-050,2025-02-19,233,268,497,Security
AD-0008,AI-057,2025-02-26,252,297,538,Networking
AD-0009,AI-064,2025-03-05,271,326,579,Customer Experience
AD-0010,AI-071,2025-03-12,290,355,620,Finance
AD-0011,AI-078,2025-03-19,309,384,661,Operations
AD-0012,AI-085,2025-03-26,328,413,702,Collaboration
AD-0013,AI-092,2025-04-02,347,442,743,Security
AD-0014,AI-099,2025-04-09,366,471,784,Networking
AD-0015,AI-106,2025-04-16,385,500,825,Customer Experience
AD-0016,AI-113,2025-04-23,404,529,866,Finance
AD-0017,AI-120,2025-04-30,423,558,907,Operations
AD-0018,AI-127,2025-05-07,442,587,948,Collaboration
AD-0019,AI-134,2025-05-14,461,616,989,Security
AD-0020,AI-141,2025-05-21,480,645,1030,Networking
AD-0021,AI-148,2025-05-28,499,674,1071,Customer Experience
AD-0022,AI-155,2025-06-04,518,703,1112,Finance
AD-0023,AI-162,2025-06-11,537,732,1153,Operations
AD-0024,AI-169,2025-06-18,556,761,1194,Collaboration
AD-0025,AI-176,2025-06-25,575,790,1235,Security
AD-0026,AI-003,2025-07-02,594,819,1276,Networking
AD-0027,AI-010,2025-07-09,613,848,1317,Customer Experience
AD-0028,AI-017,2025-07-16,632,877,1358,Finance
AD-0029,AI-024,2025-07-23,651,906,1399,Operations
AD-0030,AI-031,2025-07-30,670,935,1440,Collaboration
AD-0031,AI-038,2025-08-06,689,964,1481,Security
AD-0032,AI-045,2025-08-13,708,993,1522,Networking
AD-0033,AI-052,2025-08-20,727,1022,1563,Customer Experience
AD-0034,AI-059,2025-08-27,746,1051,1604,Finance
AD-0035,AI-066,2025-09-03,765,1080,1645,Operations
AD-0036,AI-073,2025-09-10,784,1109,1686,Collaboration
AD-0037,AI-080,2025-09-17,803,1138,1727,Security
AD-0038,AI-087,2025-09-24,822,1167,1768,Networking
AD-0039,AI-094,2025-10-01,841,1196,1809,Customer Experience
AD-0040,AI-101,2025-10-08,860,1225,1850,Finance
AD-0041,AI-108,2025-10-15,879,1254,1891,Operations
AD-0042,AI-115,2025-10-22,898,1283,1932,Collaboration
AD-0043,AI-122,2025-10-29,917,1312,1973,Security
AD-0044,AI-129,2025-11-05,936,1341,2014,Networking
AD-0045,AI-136,2025-11-12,955,1370,2055,Customer Experience
AD-0046,AI-143,2025-11-19,974,1399,2096,Finance
AD-0047,AI-150,2025-11-26,993,1428,2137,Operations
AD-0048,AI-157,2025-12-03,1012,1457,2178,Collaboration
AD-0049,AI-164,2025-12-10,1031,1486,2219,Security
AD-0050,AI-171,2025-12-17,1050,1515,2260,Networking
AD-0051,AI-178,2025-12-24,1069,1544,2301,Customer Experience
AD-0052,AI-005,2025-01-01,1088,1573,2342,Finance
AD-0053,AI-012,2025-01-08,1107,1602,2383,Operations
AD-0054,AI-019,2025-01-15,1126,1631,2424,Collaboration
AD-0055,AI-026,2025-01-22,1145,1660,2465,Security
AD-0056,AI-033,2025-01-29,1164,1689,2506,Networking
AD-0057,AI-040,2025-02-05,1183,1718,2547,Customer Experience
AD-0058,AI-047,2025-02-12,1202,1747,2588,Finance
AD-0059,AI-054,2025-02-19,1221,1776,2629,Operations
AD-0060,AI-061,2025-02-26,1240,1805,2670,Collaboration
AD-0061,AI-068,2025-03-05,1259,1834,2711,Security
AD-0062,AI-075,2025-03-12,1278,1863,2752,Networking
AD-0063,AI-082,2025-03-19,1297,92,2793,Customer Experience
AD-0064,AI-089,2025-03-26,1316,121,2834,Finance
AD-0065,AI-096,2025-04-02,1335,150,2875,Operations
AD-0066,AI-103,2025-04-09,1354,179,2916,Collaboration
AD-0067,AI-110,2025-04-16,1373,208,2957,Security
AD-0068,AI-117,2025-04-23,1392,237,2998,Networking
AD-0069,AI-124,2025-04-30,1411,266,3039,Customer Experience
AD-0070,AI-131,2025-05-07,1430,295,3080,Finance
AD-0071,AI-138,2025-05-14,1449,324,3121,Operations
AD-0072,AI-145,2025-05-21,1468,353,3162,Collaboration
AD-0073,AI-152,2025-05-28,1487,382,3203,Security
AD-0074,AI-159,2025-06-04,1506,411,3244,Networking
AD-0075,AI-166,2025-06-11,1525,440,3285,Customer Experience
AD-0076,AI-173,2025-06-18,1544,469,3326,Finance
AD-0077,AI-180,2025-06-25,1563,498,3367,Operations
AD-0078,AI-007,2025-07-02,1582,527,3408,Collaboration
AD-0079,AI-014,2025-07-09,1601,556,3449,Security
AD-0080,AI-021,2025-07-16,1620,585,3490,Networking
AD-0081,AI-028,2025-07-23,1639,614,3531,Customer Experience
AD-0082,AI-035,2025-07-30,1658,643,3572,Finance
AD-0083,AI-042,2025-08-06,1677,672,3613,Operations
AD-0084,AI-049,2025-08-13,1696,701,3654,Collaboration
AD-0085,AI-056,2025-08-20,1715,730,3695,Security
AD-0086,AI-063,2025-08-27,1734,759,3736,Networking
AD-0087,AI-070,2025-09-03,1753,788,3777,Customer Experience
