value_record_id,initiative_id,quarter,planned_value,realized_value,value_type,confidence
VR-0001,AI-012,2025-Q2,49137,27025.35,Revenue enablement,Medium
VR-0002,AI-023,2025-Q3,58274,41957.28,Cycle-time reduction,High
VR-0003,AI-034,2025-Q4,67411,59995.79,Cost avoidance,Low
VR-0004,AI-045,2026-Q1,76548,35212.08,Revenue enablement,Medium
VR-0005,AI-056,2025-Q1,85685,53981.55,Cycle-time reduction,High
VR-0006,AI-067,2025-Q2,94822,75857.6,Cost avoidance,Low
VR-0007,AI-078,2025-Q3,103959,100840.23,Revenue enablement,Medium
VR-0008,AI-089,2025-Q4,113096,61071.84,Cycle-time reduction,High
VR-0009,AI-100,2026-Q1,122233,86785.43,Cost avoidance,Low
VR-0010,AI-111,2025-Q1,131370,115605.6,Revenue enablement,Medium
VR-0011,AI-122,2025-Q2,140507,63228.15,Cycle-time reduction,High
VR-0012,AI-133,2025-Q3,149644,92779.28,Cost avoidance,Low
VR-0013,AI-144,2025-Q4,158781,125436.99,Revenue enablement,Medium
VR-0014,AI-155,2026-Q1,167918,161201.28,Cycle-time reduction,High
VR-0015,AI-166,2025-Q1,177055,93839.15,Cost avoidance,Low
VR-0016,AI-177,2025-Q2,186192,130334.4,Revenue enablement,Medium
VR-0017,AI-008,2025-Q3,195329,169936.23,Cycle-time reduction,High
VR-0018,AI-019,2025-Q4,204466,89965.04,Cost avoidance,Low
VR-0019,AI-030,2026-Q1,213603,130297.83,Revenue enablement,Medium
VR-0020,AI-041,2025-Q1,222740,173737.2,Cycle-time reduction,High
VR-0021,AI-052,2025-Q2,231877,220283.15,Cost avoidance,Low
VR-0022,AI-063,2025-Q3,241014,125327.28,Revenue enablement,Medium
VR-0023,AI-074,2025-Q4,250151,172604.19,Cycle-time reduction,High
VR-0024,AI-085,2026-Q1,259288,222987.68,Cost avoidance,Low
VR-0025,AI-096,2025-Q1,268425,115422.75,Revenue enablement,Medium
VR-0026,AI-107,2025-Q2,277562,166537.2,Cycle-time reduction,High
VR-0027,AI-118,2025-Q3,286699,220758.23,Cost avoidance,Low
VR-0028,AI-129,2025-Q4,295836,278085.84,Revenue enablement,Medium
VR-0029,AI-140,2026-Q1,304973,155536.23,Cycle-time reduction,High
VR-0030,AI-151,2025-Q1,314110,213594.8,Cost avoidance,Low
VR-0031,AI-162,2025-Q2,323247,274759.95,Revenue enablement,Medium
VR-0032,AI-173,2025-Q3,332384,139601.28,Cycle-time reduction,High
VR-0033,AI-004,2025-Q4,341521,201497.39,Cost avoidance,Low
VR-0034,AI-015,2026-Q1,350658,266500.08,Revenue enablement,Medium
VR-0035,AI-026,2025-Q1,359795,334609.35,Cycle-time reduction,High
VR-0036,AI-037,2025-Q2,368932,184466.0,Cost avoidance,Low
VR-0037,AI-048,2025-Q3,378069,253306.23,Revenue enablement,Medium
VR-0038,AI-059,2025-Q4,387206,325253.04,Cycle-time reduction,High
VR-0039,AI-070,2026-Q1,396343,162500.63,Cost avoidance,Low
VR-0040,AI-081,2025-Q1,405480,235178.4,Revenue enablement,Medium
VR-0041,AI-092,2025-Q2,414617,310962.75,Cycle-time reduction,High
VR-0042,AI-103,2025-Q3,423754,389853.68,Cost avoidance,Low
VR-0043,AI-114,2025-Q4,432891,212116.59,Revenue enablement,Medium
VR-0044,AI-125,2026-Q1,442028,291738.48,Cycle-time reduction,High
VR-0045,AI-136,2025-Q1,451165,374466.95,Cost avoidance,Low
VR-0046,AI-147,2025-Q2,460302,184120.8,Revenue enablement,Medium
VR-0047,AI-158,2025-Q3,469439,267580.23,Cycle-time reduction,High
VR-0048,AI-169,2025-Q4,478576,354146.24,Cost avoidance,Low
VR-0049,AI-180,2026-Q1,487713,443818.83,Revenue enablement,Medium
VR-0050,AI-011,2025-Q1,496850,238488.0,Cycle-time reduction,High
VR-0051,AI-022,2025-Q2,505987,328891.55,Cost avoidance,Low
VR-0052,AI-033,2025-Q3,515124,422401.68,Revenue enablement,Medium
VR-0053,AI-044,2025-Q4,524261,204461.79,Cycle-time reduction,High
VR-0054,AI-055,2026-Q1,533398,298702.88,Cost avoidance,Low
VR-0055,AI-066,2025-Q1,542535,396050.55,Revenue enablement,Medium
VR-0056,AI-077,2025-Q2,551672,496504.8,Cycle-time reduction,High
VR-0057,AI-088,2025-Q3,560809,263580.23,Cost avoidance,Low
VR-0058,AI-099,2025-Q4,569946,364765.44,Revenue enablement,Medium
VR-0059,AI-110,2026-Q1,579083,469057.23,Cycle-time reduction,High
VR-0060,AI-121,2025-Q1,588220,223523.6,Cost avoidance,Low
VR-0061,AI-132,2025-Q2,597357,328546.35,Revenue enablement,Medium
VR-0062,AI-143,2025-Q3,606494,436675.68,Cycle-time reduction,High
VR-0063,AI-154,2025-Q4,615631,547911.59,Cost avoidance,Low
VR-0064,AI-165,2026-Q1,624768,287393.28,Revenue enablement,Medium
VR-0065,AI-176,2025-Q1,633905,399360.15,Cycle-time reduction,High
VR-0066,AI-007,2025-Q2,43042,34433.6,Cost avoidance,Low
VR-0067,AI-018,2025-Q3,52179,50613.63,Revenue enablement,Medium
VR-0068,AI-029,2025-Q4,61316,33110.64,Cycle-time reduction,High
VR-0069,AI-040,2026-Q1,70453,50021.63,Cost avoidance,Low
VR-0070,AI-051,2025-Q1,79590,70039.2,Revenue enablement,Medium
VR-0071,AI-062,2025-Q2,88727,39927.15,Cycle-time reduction,High
