initiative_id,business_unit,use_case,lifecycle,owner,launch_date,estimated_annual_value,regulated_data,control_coverage,planned_value,realized_value,value_realization
AI-001,Collaboration,Support copilot,Scaled,Risk,2025-01-12,82391,No,0.6666666666666666,484660,184170.8,0.37999999999999995
AI-002,Security,Forecasting,Pilot,Security,2025-01-23,99782,No,0.8333333333333334,636947,286626.15,0.45
AI-003,Networking,Document intelligence,Pilot,Business Operations,2025-02-03,117173,No,1.0,823128,428026.56,0.52
AI-004,Customer Experience,Workflow automation,Pilot,Product,2025-02-14,134564,Yes,1.0,527702,311344.18,0.59
AI-005,Finance,Knowledge assistant,Discovery,Data & AI,2025-02-25,151955,No,0.6666666666666666,338468,223388.88,0.66
AI-006,Operations,Support copilot,Discovery,Risk,2025-03-08,169346,No,0.8333333333333334,826170,603104.1000000001,0.7300000000000001
AI-007,Collaboration,Forecasting,Scaled,Security,2025-03-19,186737,No,1.0,530744,424595.19999999995,0.7999999999999999
AI-008,Security,Document intelligence,Scaled,Business Operations,2025-03-30,204128,Yes,1.0,835318,726726.66,0.87
AI-009,Networking,Workflow automation,Pilot,Product,2025-04-10,221519,No,0.8333333333333334,192276,180739.44,0.9400000000000001
AI-010,Customer Experience,Knowledge assistant,Pilot,Data & AI,2025-04-21,238910,No,0.8333333333333334,533786,218852.25999999998,0.41
AI-011,Finance,Support copilot,Pilot,Risk,2025-05-02,256301,No,1.0,838360,402412.8,0.48
AI-012,Operations,Forecasting,Discovery,Security,2025-05-13,273692,Yes,1.0,542934,298613.69999999995,0.5499999999999999
AI-013,Collaboration,Document intelligence,Discovery,Business Operations,2025-05-24,291083,No,0.8333333333333334,46084,28572.08,0.62
AI-014,Security,Workflow automation,Scaled,Product,2025-06-04,308474,No,0.6666666666666666,241402,166567.38,0.6900000000000001
AI-015,Networking,Knowledge assistant,Scaled,Data & AI,2025-06-15,325865,No,1.0,545976,414941.76,0.76
AI-016,Customer Experience,Support copilot,Pilot,Risk,2025-06-26,343256,Yes,1.0,347605,288512.15,0.8300000000000001
AI-017,Finance,Forecasting,Pilot,Security,2025-07-07,360647,No,0.8333333333333334,844444,759999.6,0.9
AI-018,Operations,Document intelligence,Pilot,Business Operations,2025-07-18,378038,No,0.6666666666666666,549018,532547.46,0.97
AI-019,Collaboration,Workflow automation,Discovery,Product,2025-07-29,395429,No,0.8333333333333334,253592,111580.48,0.44
AI-020,Security,Knowledge assistant,Discovery,Data & AI,2025-08-09,412820,Yes,1.0,201413,102720.63,0.51
AI-021,Networking,Support copilot,Scaled,Risk,2025-08-20,430211,No,1.0,552060,320194.8,0.58
AI-022,Customer Experience,Forecasting,Scaled,Security,2025-08-31,447602,No,0.6666666666666666,856634,556812.1,0.65
AI-023,Finance,Document intelligence,Pilot,Business Operations,2025-09-11,464993,No,0.8333333333333334,561208,404069.76,0.72
AI-024,Operations,Workflow automation,Pilot,Product,2025-09-22,482384,Yes,1.0,55221,43624.59,0.7899999999999999
AI-025,Collaboration,Knowledge assistant,Pilot,Data & AI,2025-10-03,499775,No,1.0,259676,223321.36000000002,0.8600000000000001
AI-026,Security,Support copilot,Discovery,Risk,2025-10-14,517166,No,0.8333333333333334,564250,524752.5,0.93
AI-027,Networking,Forecasting,Discovery,Security,2025-10-25,534557,No,0.8333333333333334,356742,142696.8,0.39999999999999997
AI-028,Customer Experience,Document intelligence,Scaled,Business Operations,2025-11-05,551948,Yes,1.0,862718,405477.45999999996,0.47
AI-029,Finance,Workflow automation,Scaled,Product,2025-11-16,569339,No,1.0,567292,306337.68,0.54
AI-030,Operations,Knowledge assistant,Pilot,Data & AI,2025-11-27,586730,No,0.8333333333333334,271866,165838.26,0.61
AI-031,Collaboration,Support copilot,Pilot,Risk,2025-12-08,604121,No,0.6666666666666666,210550,143174.0,0.68
AI-032,Security,Forecasting,Pilot,Security,2025-12-19,621512,Yes,1.0,570334,427750.5,0.75
AI-033,Networking,Document intelligence,Discovery,Business Operations,2025-12-30,638903,No,1.0,874908,717424.56,0.8200000000000001
AI-034,Customer Experience,Workflow automation,Discovery,Product,2026-01-10,656294,No,0.8333333333333334,579482,515738.98,0.89
AI-035,Finance,Knowledge assistant,Scaled,Data & AI,2026-01-21,673685,No,0.6666666666666666,64358,61783.68,0.96
AI-036,Operations,Support copilot,Scaled,Risk,2026-02-01,691076,Yes,0.8333333333333334,277950,119518.5,0.43
AI-037,Collaboration,Forecasting,Pilot,Security,2026-02-12,708467,No,1.0,582524,291262.0,0.5
AI-038,Security,Document intelligence,Pilot,Business Operations,2026-02-23,725858,No,1.0,365879,208551.03,0.57
AI-039,Networking,Workflow automation,Pilot,Product,2026-03-06,743249,No,0.6666666666666666,880992,563834.88,0.64
AI-040,Customer Experience,Knowledge assistant,Discovery,Data & AI,2026-03-17,760640,Yes,0.8333333333333334,585566,415751.86,0.71
AI-041,Finance,Support copilot,Discovery,Risk,2026-03-28,778031,No,1.0,290140,226309.2,0.78
AI-042,Operations,Forecasting,Scaled,Security,2026-04-08,795422,No,1.0,219687,186733.95,0.8500000000000001
AI-043,Collaboration,Document intelligence,Scaled,Business Operations,2026-04-19,812813,No,0.8333333333333334,588608,541519.36,0.9199999999999999
AI-044,Security,Workflow automation,Pilot,Product,2026-04-30,830204,Yes,0.8333333333333334,893182,348340.98,0.38999999999999996
AI-045,Networking,Knowledge assistant,Pilot,Data & AI,2026-05-11,847595,No,1.0,597756,274967.76,0.46
AI-046,Customer Experience,Support copilot,Pilot,Risk,2026-05-22,864986,No,1.0,73495,38952.35,0.53
AI-047,Finance,Forecasting,Discovery,Security,2026-06-02,82377,No,0.8333333333333334,296224,177734.40000000002,0.6000000000000001
AI-048,Operations,Document intelligence,Discovery,Business Operations,2026-06-13,99768,Yes,0.6666666666666666,600798,402534.66000000003,0.67
AI-049,Collaboration,Workflow automation,Scaled,Product,2025-01-10,117159,No,1.0,375016,277511.84,0.7400000000000001
AI-050,Security,Knowledge assistant,Scaled,Data & AI,2025-01-21,134550,No,1.0,899266,728405.46,0.8099999999999999
AI-051,Networking,Support copilot,Pilot,Risk,2025-02-01,151941,No,0.8333333333333334,603840,531379.2,0.8799999999999999
AI-052,Customer Experience,Forecasting,Pilot,Security,2025-02-12,169332,Yes,0.6666666666666666,308414,292993.3,0.95
AI-053,Finance,Document intelligence,Pilot,Business Operations,2025-02-23,186723,No,0.8333333333333334,228824,96106.08,0.42
AI-054,Operations,Workflow automation,Discovery,Product,2025-03-06,204114,No,1.0,606882,297372.18,0.49
AI-055,Collaboration,Knowledge assistant,Discovery,Data & AI,2025-03-17,221505,No,1.0,911456,510415.36,0.5599999999999999
AI-056,Security,Support copilot,Scaled,Risk,2025-03-28,238896,Yes,0.6666666666666666,616030,388098.89999999997,0.6299999999999999
AI-057,Networking,Forecasting,Scaled,Security,2025-04-08,256287,No,0.8333333333333334,82632,57842.4,0.7000000000000001
AI-058,Customer Experience,Document intelligence,Pilot,Business Operations,2025-04-19,273678,No,1.0,314498,242163.46000000002,0.77
AI-059,Finance,Workflow automation,Pilot,Product,2025-04-30,291069,No,1.0,619072,520020.48,0.84
AI-060,Operations,Knowledge assistant,Pilot,Data & AI,2025-05-11,308460,Yes,0.8333333333333334,384153,349579.23,0.9099999999999999
