initiative_id,business_unit,use_case,lifecycle,owner,launch_date,estimated_annual_value,regulated_data,control_coverage,planned_value,realized_value,value_realization,open_exceptions,max_age_days,priority_score
AI-116,Security,Support copilot,Pilot,Risk,2025-08-05,482356,Yes,0.6666666666666666,582125,366738.75,0.63,10.0,96.0,112.13333333333334
AI-031,Collaboration,Support copilot,Pilot,Risk,2025-12-08,604121,No,0.6666666666666666,210550,143174.0,0.68,10.0,81.0,107.63333333333334
AI-001,Collaboration,Support copilot,Scaled,Risk,2025-01-12,82391,No,0.6666666666666666,484660,184170.8,0.37999999999999995,9.0,95.0,106.83333333333334
AI-141,Networking,Support copilot,Scaled,Risk,2026-05-07,117131,No,0.6666666666666666,301920,175113.6,0.5800000000000001,9.0,85.0,103.83333333333334
AI-171,Networking,Support copilot,Pilot,Risk,2025-10-19,638861,No,0.6666666666666666,627810,552472.8,0.8800000000000001,9.0,69.0,99.03333333333335
AI-056,Security,Support copilot,Scaled,Risk,2025-03-28,238896,Yes,0.6666666666666666,616030,388098.89999999997,0.6299999999999999,10.0,52.0,98.93333333333334
AI-006,Operations,Support copilot,Discovery,Risk,2025-03-08,169346,No,0.8333333333333334,826170,603104.1000000001,0.7300000000000001,10.0,96.0,95.46666666666665
AI-081,Networking,Support copilot,Pilot,Risk,2025-12-28,673671,No,0.8333333333333334,655620,380259.6,0.58,10.0,95.0,95.16666666666666
AI-036,Operations,Support copilot,Scaled,Risk,2026-02-01,691076,Yes,0.8333333333333334,277950,119518.5,0.43,10.0,94.0,94.86666666666666
AI-111,Networking,Support copilot,Discovery,Risk,2025-06-11,395401,No,0.8333333333333334,707400,622512.0,0.88,10.0,93.0,94.56666666666666
AI-086,Security,Support copilot,Pilot,Risk,2026-02-21,760626,No,0.6666666666666666,256235,238298.55,0.9299999999999999,10.0,36.0,94.13333333333334
AI-146,Security,Support copilot,Discovery,Risk,2025-01-17,204086,No,0.8333333333333334,460690,428441.7,0.93,9.0,94.0,89.86666666666666
AI-061,Collaboration,Support copilot,Discovery,Risk,2025-05-22,325851,No,0.8333333333333334,917540,348665.2,0.38,10.0,65.0,86.16666666666666
AI-136,Customer Experience,Support copilot,Pilot,Risk,2026-03-13,830176,Yes,0.8333333333333334,746990,620001.7,0.83,9.0,72.0,83.26666666666667
AI-026,Security,Support copilot,Discovery,Risk,2025-10-14,517166,No,0.8333333333333334,564250,524752.5,0.93,9.0,66.0,81.46666666666667
